_id,licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
161,Thyme Food & Services Pte Ltd,NW15197V000,8A ADMIRALTY STREET #07-21 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
162,UNIVERSAL CATERING PTE. LTD.,NW15162V000,8A ADMIRALTY STREET #06-26 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,A,na,na,na
163,FIVE STARS FOOD PTE. LTD.,NW15119C000,1 SENOKO AVENUE (PART) #01-01 FOODAXIS @ SENOKO SINGAPORE 758297,B,na,na,na
164,TRPTI FOOD PTE. LTD.,NW14601B000,8A ADMIRALTY STREET #06-34 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
165,LEE MEI LI,NW14269J000,8A ADMIRALTY STREET #03-38 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
166,WANG CHUN HONG,NW14107V000,8A ADMIRALTY STREET #03-33 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,12,2016-06-01,2016-06-24
167,HE YUAN FANG SHANGHAI CUISINE PTE LTD,NW14004K000,8A ADMIRALTY STREET #02-05 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
168,DES KITCHEN PTE. LTD.,NW13M46V000,8A ADMIRALTY STREET #02-30 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,na,na,na,na
169,OBAYED HOLDINGS PTE. LTD.,NW13M02A000,8A ADMIRALTY STREET #04-23 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,4,na,na
170,EE HUI FOOD CATERING PTE. LTD.,NW13L98B000,58 SENOKO DRIVE SENOKO INDUSTRIAL ESTATE SINGAPORE 758237,B,na,na,na
171,AMG FOOD PTE. LTD.,NW13K72E000,15 WOODLANDS LOOP #01-33 SINGAPORE 738322,A,na,na,na
172,VS CATERING PTE. LTD.,NW12G98X000,8A ADMIRALTY STREET #05-08 FOOD XCHANGE @ADMIRALTY SINGAPORE 757437,C,4,na,na
173,MAESTROSOFT PTE LTD,NW12G81N000,8A ADMIRALTY STREET #05-41 FOOD XCHANGE @ ADMIRALTY SINGAPORE 757437,B,na,na,na
