NAME,LATITUDE,LONGITUDE,ADDRESS_MYENV,DESCRIPTION_MYENV,ADDRESSTYPE,ADDRESSBLOCKHOUSENUMBER,ADDRESSFLOORNUMBER,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESSBUILDINGNAME,REGION,PHOTOURL,STATUS,RNR_STATUS,APPROXIMATE_GFA,AWARDED_DATE,CLEANINGENDDATE,CLEANINGSTARTDATE,DESCRIPTION,EST_ORIGINAL_COMPLETION_DATE,FMEL_UPD_D,HUP_COMPLETION_DATE,HYPERLINK,IMPLEMENTATION_DATE,INC_CRC,INFO_ON_CO_LOCATORS,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NO_OF_FOOD_STALLS,NO_OF_MARKET_STALLS,point_lat,point_lon
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),,,"Blk 115, Bukit Merah View, Singapore 151115",,,115,,,Bukit Merah View,151115,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,Existing,,,,,,HUP Standard Upgrading,29/3/1973,20221012163049,28/2/2012,,,7A2BDBF5830376A7,,26745.83,29770.11,,,1.28550478314618,103.822049361292
Bukit Panjang Hawker Centre,,,"2 Bukit Panjang Ring Road, Singapore 679947",,,2,,,Bukit Panjang Ring Road,679947,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,Existing (new),,4500,,,,New Centre,31/7/2015,20221012163049,,,,2FEB0DCC8CCF59D4,,21230.49,39953.67,,,1.37760053528611,103.772489583206
Bukit Timah Market,,,"51, Upper Bukit Timah Road, Singapore 588215",,,51,,,Upper Bukit Timah Road,588215,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,Existing,,3310.64,,,,HUP Standard Upgrading,1975,20221012163049,2/1/2003,,,FD4DDC8C07732176,,21620.5,35726.98,,,1.33937596351523,103.775995008012
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),,,"Blk 41A, Cambridge Road, Singapore 211041",,,41A,,,Cambridge Road,211041,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,Existing,,,,,,HUP Reconfiguration,18/12/1981,20221012163049,7/3/2003,,,FBD170F30CEE818F,,29881.53,33159.8,,,1.31615991374589,103.850225081031
Changi Village Blk 2 and 3,,,"Blk 2/3, Changi Village Road, Singapore 500002/500003",,,2&3,,,Changi Village Road,500002,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,Existing,,,,,,HUP Standard Upgrading,12/11/1975,20221012163049,28/12/2012,,,DC5973E8A24B7C85,,45241.4,41231.42,,,1.38915172065006,103.988245749103
Chomp Chomp Food Centre,,,"20, Kensington Park Road, Singapore 557269",,,20,,,Kensington Park Road,557269,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,Existing,,613.55,,,,HUP Standard Upgrading,1972,20221012163049,31/3/2004,,,FD83AAB0BD194D68,,31696.72,38475,,,1.36422852315868,103.866536130299
Ci Yuan Hawker Centre,,,"51 Hougang Avenue 9, Singapore 538776",,,51,,,Hougang Avenue 9,538776,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,Existing (new),,2047.29,,,,New Centre,2/7/2015,20221012163049,,,,2AA90E9CB7222D3A,hawker centre/community club/family medicine clinic/senior care centre,33526.48,39713.52,,,1.37542896666561,103.882977999397
Circuit Road Blk 79/79A,,,"Blk 79/79A, Circuit Road, Singapore 370079/371079",,,79/79A,,,Circuit Road,370079,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,Existing,,,,,,HUP Standard Upgrading,31/3/1971,20221012163049,11/5/2010,,,B1F15E00F852A8E2,,33756.46,34297.67,,,1.32644992167231,103.885043500019
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),,,"Blk 80, Circuit Road, Singapore 370080",,,80,,,Circuit Road,370080,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,Existing,,,,,,HUP Reconfiguration,1/9/1967,20221012163049,22/2/2003,,,3BE7F742CBA359E0,,33988.5,34452.44,,,1.32784956142548,103.887128535137
Circuit Road Blk 89,,,"Blk 89, Circuit Road, Singapore 370089",,,89,,,Circuit Road,370089,,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,Existing,,,,,,HUP Standard Upgrading,1/9/1967,20221012163049,8/4/2009,,,4EDE2CCE7F5DCE1F,,33801.62,33965.43,,,1.32344525333847,103.885449224256
